Title,Address,Price,Description,Contact,Photos,Link,Bedrooms,Bathrooms,Toilets,Parking Spaces
4 bedroom flat / apartment for sale,"Cooper Road, Ikoyi, Lagos",900000000,"Property Description

For Sale: Luxury 4-Bedroom Apartment + BQ

Experience refined living in this upscale residence just off Bourdillon Road, Old Ikoyi. Designed with elegance and comfort in mind, this apartment offers modern finishes, spacious interiors, and premium lifestyle amenities.

⸻

Key Features
- 4 Ensuite Bedrooms (Master with Walk-in Closet & Balcony)
- Spacious Living & Dining + Guest Powder Room
- Fully Fitted Gourmet Kitchen & Scullery
- Staff Quarters (BQ) with Separate Entrance
- Swimming Pool, Fitness Centre & Yoga Studio
- High-Speed Elevator, Secure Parking & CCTV
- 24/7 Power Supply & Manned Security

⸻

Sale Price

₦900,000,000

⸻

Location

Prestigious Old Ikoyi enclave --- serene, tree-lined, and within easy reach of Victoria Island, Lekki, top schools, cafés, and boutiques.

⸻

For Enquiries & Inspections
12Pearls Real Estate 0805 637 8528



Property Details
Property Ref: 3048973	Added On: 22 Aug 2025	Last Updated: 22 Aug 2025
Market Status: Available	Type: Flat / Apartment	Bedrooms: 4
Bathrooms: 4	Toilets: 4	Servicing: Serviced",0805 XXXX,10,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/ikoyi/3048973-luxury-living-redefined-4-bedroom-apartment-with-pool-gym,4.0,4.0,4.0,
5 bedroom detached duplex for sale,"Ikate, Lekki, Lagos",950000000,"Property Description

DIRECT BRIEF/WE HAVE INSTRUCTION TO SELL FROM THE OWNER.

NB : The detailed video tour is attached to this advertisement.

FOR SALE

Experience ultimate luxury in a serene Estate in Ikate with this breathtaking 5 bedroom detached house with a swimming pool and special features you will love.

Features:
- Contemporary style.
- 5 spacious en-suite bedrooms.
- 5.5 luxurious bathrooms.
- Maid room/Boy's quarter (BQ).
- Private elevator /Lift .
- Central cooling system.
- Smart home automation.
- Dedicated home office/Study.
- Furnished 10 - seater cinema.
- Gymnasium.
- Laundry room.
- Game Room.
- Fire alarm & smoke detectors.
- Kitchen (fully equipped).
- Hidden kitchen pantry.
- Garden
- Fully equipped kitchen with a microwave, oven, double door refrigerator, pot filler, electric and gas burners, heat extractor, etc.
- Dedicated dining area.
- Swimming pool with a waterfall fountain.
- Outdoor lounge with a cabana.
- Rooftop terrace.
- Air conditioners (ACs) .
- Designed for proper ventilation and natural lighting.
- Modern ,high quality finishings, fittings and fixtures.
- High double volume ceiling.
- Alexa voice control automation and other smart features.
- Parking space for at least 5 cars.
- Family Lounge.
- All doors have smart key locks.
- Modern wooden staircase with motion sensor lights.
- Tempered glass installed all through.
- Etc.


Prime Location: Heart of Ikate, lekki, Lagos.

(Highly secured highly secured estate in a highly secured neighborhood).

Price: ₦950 Million Naira.

Secured with Global Certificate of Occupancy (C of O) & Building approval.

For further enquiries and viewings kindly contact us on 07065266133, 07010281009
Email : beradeals@gmail.com


We have houses for sale in Pinnock Beach Estate & Arcadia Grove Estate, Nicon Town Estate, Victory Park Estate, Cowrie Creek Estate, Vintage Park Estate, Northern Foreshore Estate, Carlton Gate Estate, Lakeview Park 1 Estate, Lakeview Park 2 Estate, Megamound Estate, Lekki Phase 1, Palm Residences, Osapa London, Hampton Bay Estate, Ikate Elegushi, etc.



Property Details
Property Ref: 2995216	Added On: 24 Jul 2025	Last Updated: 21 Aug 2025
Market Status: Available	Type: Detached Duplex	Bedrooms: 5
Bathrooms: 5	Toilets: 6",0706 XXXX,26,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikate/2995216-luxury-5-bedrooms-smart-house,5.0,5.0,5.0,
2 bedroom flat / apartment for sale,"Ikate, Lekki, Lagos",145000000,"Property Description

For sale 2-bedroom apartment in a well secured estate.

Price: ₦145m

Location: Ikate, Lekki, Lagos

Features
Newly built
Modern house
All rooms en-suite


Call us for enquiries and inspection:08087813295



Property Details
Property Ref: 3058550	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Flat / Apartment	Bedrooms: 2
Bathrooms: 2	Toilets: 3	Parking Spaces: 2",0808 XXXX,16,https://nigeriapropertycentre.com/for-sale/flats-apartments/lagos/lekki/ikate/3058550-2-bedroom-apartment,2.0,2.0,2.0,2.0
5 bedroom detached duplex for sale,"Megamound Estate, Lekki County, Ikota, Lekki, Lagos",470000000,"Property Description

~ The detailed video tour is attached to this advert.

FOR SALE

5 Bedroom Fully Detached House with the following :

- 5 En-suite bedrooms
- Smart home
- Ante room/Foyer
- Visitor's Toilet
- Living Rooms /family lounges on all floors.
- Dining area
- Swimming pool
- Rooftop terrace
- Equipped kitchen with a pantry
- Laundry area
- Box/storage room
- Study/Home Office .
- Boy's quarter (BQ)
- Spacious compound for 5 cars conveniently.

Price: ₦470 million

Location: Megamound Estate, Lekki County, Ikota, Lekki.

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com


We have houses for sale in Pinnock Beach Estate & Arcadia Grove Estate, Nicon Town Estate, Victory Park Estate, Cowrie Creek Estate, Vintage Park Estate, Northern Bera Estate Chevron Drive, Osapa London Lekki, Bakare Estate Agungi, Foreshore Estate, Carlton Gate Estate, Palms Residences, Oral Estate, Westend Estate Lekki County Estate Road, Lakeview Park 1 Estate, Lakeview Park 2 Estate, Megamound Estate, Lekki Phase 1, etc.



Property Details
Property Ref: 2838155	Added On: 25 Apr 2025	Last Updated: 12 Aug 2025
Market Status: Available	Type: Detached Duplex	Bedrooms: 5
Bathrooms: 5	Toilets: 6",0706 XXXX,26,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/2838155-luxury-5-bedrooms-house-with-a-rooftop-terrace,5.0,5.0,5.0,
5 bedroom detached duplex for sale,"Lekki County, Ikota, Lekki, Lagos",265000000,"Property Description

VERY GOOD DEAL, DON'T MISS THIS ONE !!!!

Available For Sale - Listed by Bera Deals.

Solid 5 Bedroom Fully Detached House In A Highly Secured Estate In Lekki.

FEATURES INCLUDE :
- 5 Ensuite Bedrooms
- Maid room / Boys' quarters
- Space for a swimming pool
- Compound 9 cars
- Gate house
- Gym space
- Large living rooms (one on each floor)
- Dedicated dining area
- Fully equipped kitchen
- Kitchen pantry
- Car port
- Inbuilt ceiling speakers
- CCTV cameras connections
- Jacuzzi Bathtub
- Vistor's toilet
- Water heaters in the kitchen and in all bathrooms.
- Microwave & Oven.
- Stove with heat extractor.
- Washing machine.
- Etc.

OTHER BENEFITS :
- Very good title ️
- Building Approval ️
- Located a secured estate ️
- Good power supply ️
- The estate has very good drainage; no flooding. ️

Price: ₦265,000,000

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com



We have houses in VGC, Ikota County Estate, Royal Garden Estate, Lekki County Estate, Megamound Estate, Ikota Villa Estate, Westend Estate, Oral Estate, Osapa London Lekki Distress sale etc.



Property Details
Property Ref: 2750654	Added On: 04 Mar 2025	Last Updated: 20 Aug 2025
Market Status: Available	Type: Detached Duplex	Bedrooms: 5
Bathrooms: 5	Toilets: 6	Parking Spaces: 9",0706 XXXX,26,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/ikota/2750654-newly-built-5-bedrooms-fully-detached-house,5.0,5.0,5.0,5.0
2 bedroom block of flats for sale,"Ilasan Axis, Ikate Elegushi, Lekki, Lagos",140000000,"Property Description

For sale luxury 2 bedroom apartments

Price: ₦140m

Location: Ilansa, Ikate Lekki

Features
~newly built
~luxury
~spacious rooms
~spacious compound
~perfect finishing
~all rooms en-suite
~fitted kitchen
~fitted bathrooms
~wardrobes
~family lounge
~balconies

Call us for enquiries and inspection:08087813295



Property Details
Property Ref: 3058771	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Block of Flats	Bedrooms: 2
Bathrooms: 2	Toilets: 3	Parking Spaces: 2",0808 XXXX,flats for sale,https://nigeriapropertycentre.com/for-sale/houses/block-of-flats/lagos/lekki/ikate-elegushi/3058771-2-bedroom-apartment-with-spacious,2.0,2.0,2.0,2.0
4 bedroom semi-detached duplex for sale,"Ikate, Ikate Elegushi, Lekki, Lagos",280000000,"Property Description

For sale luxury 4bedroom semi detached duplex.

Price: ₦280M

Location: Ikate, Lekki phase 2

Features
~newly built
~luxury
~spacious rooms
~spacious compound
~perfect finishing
~all rooms en-suite
~fitted kitchen
~fitted bathrooms
~wardrobes
~family lounge
~balcony

Call us for enquiries and inspection:08087813295



Property Details
Property Ref: 3058680	Added On: 27 Aug 2025	Last Updated: 27 Aug 2025
Market Status: Available	Type: Semi-detached Duplex	Bedrooms: 4
Bathrooms: 4	Toilets: 5	Parking Spaces: 2",0808 XXXX,25,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/ikate-elegushi/3058680-4-bedroom-semi-detached-duplex-with-bq,4.0,4.0,4.0,4.0
5 bedroom semi-detached duplex for sale,"Osapa, Lekki, Lagos",450000000,"Property Description

[ FOR SALE ]

The Detailed Video Tour Is Available!

MASSIVE 5 BEDROOM SEMI-DETACHED HOUSES IN A HIGHLY SECURED ESTATE IN OSAPA, LEKKI.

Price: ₦450M PER UNIT.

The Duplexes Features Include :
- 5 En-suite Bedrooms
- Very Spacious Compound with space for a swimming pool and parking space of up to 10 cars.
- Garden
- Security gate house
- Generator space
- Rooftop terrace
- High ceiling living rooms
- Family lounges/living rooms
- Box/Storage room
- Dedicated laundry room
- Maid room/Boys' quarter
- Spacious equipped kitchen
- Spacious Rooms
- Walk-in closets
- Walk-in Showers
- All room en-suite

Gated Community/Estate Features Include:
-Serenity.
-24hrs security.
-Good power supply.
-Clean supply.
-Excellent drainage (flooding is literally impossible).
-Excellent road network.
-Sport & recreation facilities.
-Estate club house for residents.
- The estate is also beautified with trees and regularly mowed gardens.

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com


We have houses for sale in Pinnock Beach Estate & Arcadia Grove Estate, Nicon Town Estate, Victory Park Estate, Cowrie Creek Estate, Vintage Park Estate, Northern Foreshore Estate, Carlton Gate Estate, Lakeview Park 1 Estate, Lakeview Park 2 Estate, Megamound Estate, Lekki Phase 1, Palm Residences, Osapa London, Hampton Bay Estate, Ikate Elegushi, etc



Property Details
Property Ref: 2991042	Added On: 22 Jul 2025	Last Updated: 06 Aug 2025
Market Status: Available	Type: Semi-detached Duplex	Bedrooms: 5
Bathrooms: 5	Toilets: 6",0706 XXXX,25,https://nigeriapropertycentre.com/for-sale/houses/semi-detached-duplexes/lagos/lekki/osapa/2991042-newly-built-5-bedroom-semi-detached-duplex,5.0,5.0,5.0,
5 bedroom detached duplex for sale,"Osapa, Lekki, Lagos",650000000,"Property Description

[ For Sale ]

Newly Built Five (5) Bedroom House With A Rooftop Terrace.

Located in a highly secured estate in Osapa London, Lekki.

Features include:
- 5 Spacious en-suite bedrooms
- Spacious fully equipped kitchen with a pantry
- Swimming pool
- Rooftop terrace
- A Maid Room/Boy's quarter (BQ)
- Study/Home office
- Cinema
- Storage room
- Equipped kitchen with a pantry
- Storage room with LED lit cabinet
- Half Bath for guests
- Ante room / Foyer
- 2 Family living rooms/lounges
- Balconies/Terraces
- Laundry room
- Very spacious rooms and kitchen with a pantry.
- Cctv surveillance cameras fully installed
- Automated gate
- Ceiling in-built sound speakers
- TV consoles with LED lights
- Etc.

Price: ₦650M

Gated Community/Estate Features Include:
-Serenity.
-24hrs security .
-24hrs power supply.
-Clean supply.
-Excellent drainage (flooding is literally impossible).
-Excellent road network.
-Sport & recreation facilities.
-Estate club house for residents.
- The estate is also beautified with trees and regularly mowed gardens.

For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com




We have houses for sale in Pinnock Beach Estate & Arcadia Grove Estate, Whiteoak Estate ologolo, Nicon Town Estate, Victory Park Estate, Cowrie Creek Estate, Lekki County Road, Ologolo, Vintage Park Estate, Northern Foreshore Estate, Carlton Gate Estate, Lakeview Park 1 Estate, Lakeview Park 2 Estate, Megamound Estate, Lekki Phase 1, etc



Property Details
Property Ref: 2991355	Added On: 22 Jul 2025	Last Updated: 22 Jul 2025
Market Status: Available	Type: Detached Duplex	Bedrooms: 5
Bathrooms: 5	Toilets: 6",0706 XXXX,25,https://nigeriapropertycentre.com/for-sale/houses/detached-duplexes/lagos/lekki/osapa/2991355-newly-built-5-bedroom-house,5.0,5.0,5.0,
6 bedroom house for sale,"Pinnock Beach Estate, Osapa, Lekki, Lagos",2250000000,"Property Description

DIRECT BRIEF/WE HAVE DIRECT INSTRUCTION TO SELL FROM THE OWNER.

FOR SALE

Newly Built Contemporary 6 Bedroom Fully Detached Mansion with 2 Maid Rooms, Cinema, Study, Home Office, Gymnasium, etc.

Location: Pinnock Beach Estate, Osapa London, Lekki.


Price: ₦2,250,000,000 (Two billion, two hundred and fifty million naira).

HOUSE FEATURES INCLUDE:
- 6 En-suite Bedrooms.
- 2 room Boys' quarter.
- Elevator / lift.
- House Automation.
- 2 Equipped kitchens (Wet & dry kitchens) with refrigerator, freezer, dishwasher, water heater, electric and gas burners,
- A spacious kitchen pantry with cabinets.
- Laundry room.
- Dinning area
- Beautiful Foyer/Ante Room.
- Spacious living room with double volume ceiling.
- Spacious family lounge on the middle floor with a TV console.
- Spacious garden space.
- Massive Rooftop Terrace with an all round view of the street & waterview of the lagoon.
- Spacious balconies in the bedrooms.
- Walk-in closets and shower cubicles.
- Decked pool area with space for a Gazebo.
- Swimming pool comes with heating and massage features.
- Jacuzzis
- Central air conditioning cooling system felt strongly in all parts of the house.
- The house comes with washing machine, water heaters in all bathrooms, water filteration facilities. etc.
- Office/study.
- 6 - Sitter Furnished Cinema/ Movie theatre with surround sound system and other amazing features of a world class cinema.
- Equipped Gymnasium.
- Massive Roof terraces/Balconies
- Fortified with tempered glass.
- Video Door Bell.
- CCTV surveillance cameras.
- Intercom system round the house.
- Control room.
- Smoke Detectors.
- Fire alarms.
- Automated gate system.
- Sufficient Car park space.
- 24/7 Electricity
- 24 Hours Security
- Waterfront view.

Gated Community/Estate Features Include:
-Serenity.
-24hrs security .
-24hrs power supply.
-Clean supply.
-Excellent drainage (flooding is literally impossible).
-Excellent road network.
-Sport & recreation facilities.
-Estate club house for residents.
- The estate is also beautified with trees and regularly mowed gardens


We have houses for sale in Pinnock Beach Estate & Arcadia Grove Estate, Nicon Town Estate, Victory Park Estate, Cowrie Creek Estate, Vintage Park Estate, Northern Foreshore Estate, Carlton Gate Estate, Lakeview Park 1 Estate, Lakeview Park 2 Estate, Megamound Estate, Lekki Phase 1, Osapa London etc.


For further enquiries and inspection kindly contact us on 07065266133, 07010281009
Email: beradeals@gmail.com



Property Details
Property Ref: 3004148	Added On: 29 Jul 2025	Last Updated: 25 Aug 2025
Market Status: Available	Type: House	Bedrooms: 6
Bathrooms: 6	Toilets: 7",0706 XXXX,25,https://nigeriapropertycentre.com/for-sale/houses/lagos/lekki/osapa/3004148-contemporary-mansion-with-the-best-finishing,6.0,6.0,6.0,
